symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2018-11-13 00:00:00+00:00,192.23,197.18,191.45,191.63,46882936,46.2463950975,47.4372584161,46.0587439079,46.1020480286,187531744,0.0,1.0
AAPL,2018-11-14 00:00:00+00:00,186.8,194.48,185.93,193.9,60800957,44.9400541238,46.787696606,44.7307508739,46.648161106,243203828,0.0,1.0
AAPL,2018-11-15 00:00:00+00:00,191.41,191.97,186.9,188.39,46478801,46.04912077,46.183844701,44.9641119686,45.3225738564,185915204,0.0,1.0
AAPL,2018-11-16 00:00:00+00:00,193.53,194.97,189.46,190.5,36928253,46.5591470802,46.9055800456,45.579992796,45.8301943822,147713012,0.0,1.0
AAPL,2018-11-19 00:00:00+00:00,185.86,190.7,184.99,190.0,41920872,44.7139103825,45.8783100718,44.5046071326,45.7099051581,167683488,0.0,1.0
AAPL,2018-11-20 00:00:00+00:00,176.98,181.47,175.51,178.37,67825247,42.5775737625,43.6577709949,42.2239234436,42.9119778055,271300988,0.0,1.0
AAPL,2018-11-21 00:00:00+00:00,176.78,180.27,176.55,179.73,31124210,42.5294580728,43.3690768571,42.4741250298,43.239164495,124496840,0.0,1.0
AAPL,2018-11-23 00:00:00+00:00,172.29,176.595,172.1,174.94,23623972,41.4492608404,42.4849510599,41.4035509353,42.0867937282,94495888,0.0,1.0
AAPL,2018-11-26 00:00:00+00:00,174.62,174.95,170.26,174.24,44998520,42.0098086247,42.0891995126,40.9608865906,41.9183888144,179994080,0.0,1.0
AAPL,2018-11-27 00:00:00+00:00,174.24,174.77,170.88,171.51,41387377,41.9183888144,42.045895392,41.1100452285,41.2616096508,165549508,0.0,1.0
AAPL,2018-11-28 00:00:00+00:00,180.94,181.29,174.93,176.73,46062539,43.5302644174,43.6144668742,42.0843879437,42.5174291504,184250156,0.0,1.0
AAPL,2018-11-29 00:00:00+00:00,179.55,182.8,177.7,182.66,41769992,43.1958603744,43.977740331,42.7507902452,43.9440593483,167079968,0.0,1.0
AAPL,2018-11-30 00:00:00+00:00,178.58,180.33,177.03,180.29,39531549,42.9624992796,43.383511564,42.5896026849,43.373888426,158126196,0.0,1.0
AAPL,2018-12-03 00:00:00+00:00,184.82,184.94,181.21,184.46,40798002,44.4637087964,44.4925782102,43.5952205984,44.377100555,163192008,0.0,1.0
AAPL,2018-12-04 00:00:00+00:00,176.69,182.39,176.27,180.95,41344282,42.5078060125,43.8791031672,42.4067630643,43.5326702018,165377128,0.0,1.0
AAPL,2018-12-06 00:00:00+00:00,174.72,174.78,170.42,171.76,43098410,42.0338664696,42.0483011764,40.9993791423,41.3217542629,172393640,0.0,1.0
AAPL,2018-12-07 00:00:00+00:00,168.49,174.49,168.3,173.49,42281631,40.5350627373,41.9785334265,40.4893528321,41.7379549783,169126524,0.0,1.0
AAPL,2018-12-10 00:00:00+00:00,169.6,170.09,163.33,165.0,62025994,40.8021048148,40.9199882544,39.2936779446,39.695443953,248103976,0.0,1.0
AAPL,2018-12-11 00:00:00+00:00,168.63,171.79,167.0,171.66,47281665,40.56874372,41.3289716163,40.1766008494,41.2976964181,189126660,0.0,1.0
AAPL,2018-12-12 00:00:00+00:00,169.1,171.92,169.02,170.4,35627674,40.6818155907,41.3602468146,40.6625693148,40.9945675733,142510696,0.0,1.0
AAPL,2018-12-13 00:00:00+00:00,170.95,172.57,169.55,170.49,31897827,41.1268857198,41.5166228059,40.7900758924,41.0162196337,127591308,0.0,1.0
AAPL,2018-12-14 00:00:00+00:00,165.48,169.08,165.28,169.0,40703710,39.8109216082,40.6770040217,39.7628059185,40.6577577458,162814840,0.0,1.0
AAPL,2018-12-17 00:00:00+00:00,163.94,168.35,162.73,165.45,44287922,39.440430798,40.5013817545,39.1493308756,39.8037042547,177151688,0.0,1.0
AAPL,2018-12-18 00:00:00+00:00,166.07,167.53,164.39,165.38,33841518,39.9528628926,40.304107427,39.5486910996,39.7868637634,135366072,0.0,1.0
AAPL,2018-12-19 00:00:00+00:00,160.89,167.45,159.09,166.0,49047297,38.7066665309,40.2848611511,38.2736253242,39.9360224012,196189188,0.0,1.0
AAPL,2018-12-20 00:00:00+00:00,156.83,162.11,155.3,160.4,64772960,37.7299180312,39.0001722377,37.3618330055,38.5887830913,259091840,0.0,1.0
AAPL,2018-12-21 00:00:00+00:00,150.73,158.16,149.63,156.86,95744384,36.2623894972,38.0498873674,35.9977532042,37.7371353847,382977536,0.0,1.0
AAPL,2018-12-24 00:00:00+00:00,146.83,151.55,146.59,148.15,37169232,35.3241335492,36.4596638248,35.2663947217,35.6416971009,148676928,0.0,1.0
AAPL,2018-12-26 00:00:00+00:00,157.17,157.23,146.72,148.3,58582544,37.8117147036,37.8261494105,35.2976699199,35.6777838681,234330176,0.0,1.0
AAPL,2018-12-27 00:00:00+00:00,156.15,156.77,150.07,155.84,53117065,37.5663246865,37.7154833244,36.1036077214,37.4917453675,212468260,0.0,1.0
AAPL,2018-12-28 00:00:00+00:00,156.23,158.52,154.55,157.5,42291424,37.5855709623,38.1364956087,37.1813991694,37.8911055915,169165696,0.0,1.0
AAPL,2018-12-31 00:00:00+00:00,157.74,159.36,156.48,158.53,35003466,37.9488444191,38.3385815052,37.6457155744,38.1389013932,140013864,0.0,1.0
AAPL,2019-01-02 00:00:00+00:00,157.92,158.85,154.23,154.89,37039737,37.9921485398,38.2158864966,37.1044140659,37.2631958417,148158948,0.0,1.0
AAPL,2019-01-03 00:00:00+00:00,142.19,145.72,142.0,143.98,91312195,34.2078495496,35.0570914717,34.1621396444,34.6384849719,365248780,0.0,1.0
AAPL,2019-01-04 00:00:00+00:00,148.26,148.55,143.8,144.53,58607070,35.6681607302,35.7379284802,34.5951808512,34.7708031184,234428280,0.0,1.0
AAPL,2019-01-07 00:00:00+00:00,147.93,148.83,145.9,148.7,54777764,35.5887698423,35.8052904456,35.1003955924,35.7740152474,219111056,0.0,1.0
AAPL,2019-01-08 00:00:00+00:00,150.75,151.82,148.52,149.56,41025314,36.2672010662,36.5246200058,35.7307111267,35.9809127128,164101256,0.0,1.0
